filename,split,entropy_pseudo,entropy_gt,entropy_diff
pisco_12.tif,train,0.8441,0.8722,-0.0281
tokyo_51.tif,train,1.0362,1.0488,-0.0126
ngaoundere_11.tif,train,1.3185,1.5437,-0.2253
slaskie_1.tif,train,0.9044,0.8662,0.0381
svaneti_2.tif,train,1.0714,1.1505,-0.0791
muenster_44.tif,train,0.6908,0.7311,-0.0404
ngaoundere_15.tif,train,1.4955,1.3638,0.1317
dortmund_30.tif,train,1.6249,1.7124,-0.0876
daressalaam_16.tif,train,1.1476,1.4086,-0.2610
wielkopolskie_39.tif,train,0.3993,0.4238,-0.0245
tyrolw_39.tif,train,0.6300,0.6722,-0.0422
lohur_6.tif,train,0.3394,0.2133,0.1261
rio_55.tif,train,0.9097,0.8163,0.0934
zanzibar_136.tif,train,0.5888,0.6242,-0.0354
chiclayo_38.tif,train,0.4830,0.5237,-0.0407
kujawsko-pomorskie_13.tif,train,1.2859,1.5055,-0.2196
rio_17.tif,train,1.2877,1.4784,-0.1906
chisinau_35.tif,train,1.0971,1.2859,-0.1888
pomorskie_34.tif,train,0.3723,0.1755,0.1968
ica_23.tif,train,0.3150,0.4158,-0.1008
tokyo_33.tif,train,1.3993,1.4961,-0.0969
chiclayo_37.tif,train,0.1686,0.8488,-0.6803
santiago_29.tif,train,0.8193,1.0901,-0.2709
muenster_40.tif,train,1.2942,1.4514,-0.1572
chicago_26.tif,train,0.9301,1.0008,-0.0707
monrovia_20.tif,train,0.8466,0.9266,-0.0800
slaskie_11.tif,train,0.3952,0.2400,0.1551
svaneti_28.tif,train,0.4120,0.7269,-0.3149
kyoto_49.tif,train,1.0943,1.3728,-0.2786
rio_25.tif,train,0.5033,0.9464,-0.4431
tyrolw_45.tif,train,1.2327,1.4075,-0.1748
kitsap_7.tif,train,0.9536,1.0172,-0.0635
sechura_33.tif,train,0.9087,0.9544,-0.0457
shanghai_17.tif,train,1.0932,1.3488,-0.2555
accra_4.tif,train,1.3641,1.5265,-0.1623
duesseldorf_37.tif,train,0.8647,0.9022,-0.0375
rio_1.tif,train,0.6281,0.6329,-0.0048
accra_13.tif,train,0.9587,0.8340,0.1247
dortmund_54.tif,train,1.6084,1.6790,-0.0705
ulaanbaatar_17.tif,train,0.7661,1.3452,-0.5791
khartoum_22.tif,train,1.1156,1.2012,-0.0855
