filename,split,total_diff_pixels,Bareland_fn,Bareland_fp,Rangeland_fn,Rangeland_fp,Developed_fn,Developed_fp,Road_fn,Road_fp,Tree_fn,Tree_fp,Water_fn,Water_fp,Agriculture_fn,Agriculture_fp,Building_fn,Building_fp
slaskie_27.tif,train,212972,0,0,134570,39836,17634,88240,24586,9430,21881,53197,437,0,0,6893,13864,15376
tonga_51.tif,train,259524,0,0,95632,55554,57481,106747,18258,23411,54985,47692,7333,2179,0,0,25835,23941
daressalaam_66.tif,train,425729,0,167,52994,294969,44060,34438,7077,4261,303695,27986,6869,19837,0,430,11034,43641
koeln_2.tif,train,331920,0,0,54541,144458,81394,62148,18176,33068,74326,40171,241,80,82055,620,21187,51375
dhaka_47.tif,train,327493,0,0,171025,9787,76021,82559,29407,4671,12150,98487,445,7019,0,0,38445,124970
piura_43.tif,train,348535,6032,0,177985,34538,24286,82295,41113,8887,73558,14663,4257,4567,13944,185638,7360,17947
duesseldorf_50.tif,train,266464,0,0,133738,67922,29877,17162,16627,24231,28401,43702,10765,705,41466,108532,5590,4210
zanzibar_133.tif,train,299186,0,0,31270,246453,24276,46466,6547,4478,223192,1022,0,254,0,0,13901,513
tyrolw_62.tif,train,109139,0,0,11634,26333,21166,54694,34654,5399,3801,4235,0,0,27331,6234,10553,12244
viru_43.tif,train,367578,0,718,73489,5875,34823,237091,27014,11112,10153,25942,3025,411,183500,46856,35574,39573
duesseldorf_16.tif,train,272928,0,0,234672,24565,9225,0,0,0,27089,245254,1942,3109,0,0,0,0
sechura_10.tif,train,138737,0,0,2023,165,36404,102092,54925,17901,662,486,0,0,0,0,44723,18093
daressalaam_84.tif,train,341792,0,0,0,99057,2033,229599,0,149,0,0,339759,1363,0,9849,0,1775
rotterdam_15.tif,train,301651,0,0,21920,16722,72170,163350,53817,38678,28417,32087,28789,1179,0,776,96538,48859
wielkopolskie_8.tif,train,98420,0,0,26221,61482,6783,11496,17349,3071,42451,5563,185,0,2842,14426,2589,2382
kyoto_6.tif,train,206996,0,0,5635,34337,15503,120706,27560,23708,5243,2682,8827,0,118942,17322,25286,8241
chiclayo_23.tif,train,231895,0,0,24582,1674,37905,186021,77987,10647,7640,5926,0,45,0,0,83781,27582
koeln_38.tif,train,163239,0,0,47743,15966,42515,61235,41315,28373,9631,47806,2750,680,0,465,19285,8714
ngaoundere_37.tif,train,361627,0,0,50726,66841,184594,52842,32197,71606,49590,45898,3351,3785,3699,98304,37470,22351
baybay_51.tif,train,198332,0,0,153287,16505,26415,5647,2787,2476,11724,67635,0,0,103,93380,4016,12689
zanzibar_141.tif,train,637316,121858,32155,167926,185106,9017,366745,38374,9,107990,45840,150156,731,0,0,41995,6730
paris_28.tif,train,452377,0,0,173901,82370,110838,140872,23664,29097,108531,55975,143,0,0,22429,35300,121634
mazowieckie_27.tif,train,262717,0,0,191618,39279,37943,77633,3754,4652,17862,79702,0,0,0,47850,11540,13601
monrovia_12.tif,train,323405,0,0,195627,35130,43281,123316,7416,13860,13354,104970,915,4979,30312,31959,32500,9191
khartoum_40.tif,train,339726,0,0,0,9237,121750,154487,90644,6313,4512,68179,0,438,0,0,122820,101072
abancay_3.tif,train,287224,0,0,102410,24064,53704,184584,8505,19565,38708,20934,892,28,0,50,83005,37999
zanzibar_139.tif,train,359631,0,82441,227834,104320,5060,165947,18703,3560,81731,2528,0,290,0,53,26303,492
muenster_33.tif,train,277934,0,0,64022,31225,121676,87816,39710,35402,30779,33655,0,0,0,33348,21747,56488
svaneti_48.tif,train,260924,0,0,103218,125919,23612,40773,21724,10689,16804,69326,0,0,86498,1794,9068,12423
lambayeque_13.tif,train,373594,0,0,87972,48773,168974,183689,43749,14112,6220,10735,13127,0,0,2902,53552,113383
chisinau_2.tif,train,279602,0,0,60086,1477,66017,190878,39265,46890,26771,18105,0,0,0,0,87463,22252
kitsap_10.tif,train,295461,0,0,128229,15241,30905,196467,50487,19189,32530,59135,764,0,0,0,52546,5429
pisco_14.tif,train,364214,0,0,41084,102243,32361,43950,1344,12971,45524,10517,1943,153460,229074,40731,12884,342
paris_45.tif,train,481504,0,0,232118,110885,56930,155249,38969,26410,129948,37591,1001,0,0,16325,22538,135044
duesseldorf_46.tif,train,336369,0,0,104298,26603,104597,132644,27485,54781,26095,79113,996,0,0,140,72898,43088
