filename,split,region,noise_ratio,dominant_error,tsne_x,tsne_y
christchurch_45.tif,train,christchurch,0.1412,Developed,-2.4839,31.0896
kyoto_53.tif,train,kyoto,0.5125,Bareland,-5.4436,-8.4154
kyoto_64.tif,train,kyoto,0.3772,Agriculture,-4.1734,-39.9096
mahe_4.tif,train,mahe,0.3280,Bareland,-12.3984,35.3767
paris_61.tif,train,paris,0.3997,Tree,22.2872,-5.3222
khartoum_44.tif,train,khartoum,0.4433,Road,34.5673,-15.4094
chisinau_26.tif,train,chisinau,0.2319,Rangeland,45.9628,-12.4012
lambayeque_10.tif,train,lambayeque,0.2020,Water,25.7947,21.4464
paris_4.tif,train,paris,0.5619,Developed,17.4228,-0.0741
dortmund_38.tif,train,dortmund,0.2949,Water,-24.1547,-13.9926
ngaoundere_25.tif,train,ngaoundere,0.2599,Bareland,-7.7697,-15.6121
rio_56.tif,train,rio,0.2330,Road,47.4400,12.4414
lodzkie_3.tif,train,lodzkie,0.2593,Road,-49.8005,-28.7069
slaskie_23.tif,train,slaskie,0.1457,Developed,-13.8026,-7.8186
dhaka_56.tif,train,dhaka,0.2220,Bareland,-1.6887,48.2239
chisinau_41.tif,train,chisinau,0.2310,Rangeland,44.7471,-10.4956
chiclayo_20.tif,train,chiclayo,0.0947,Water,-19.8302,29.7940
shanghai_43.tif,train,shanghai,0.4336,Rangeland,-36.5867,-29.8006
kagera_51.tif,train,kagera,0.4073,Developed,-21.8677,-9.1932
mazowieckie_26.tif,train,mazowieckie,0.0480,Building,-53.7602,-14.1329
lambayeque_27.tif,train,lambayeque,0.2632,Road,-51.9956,-1.0718
ica_45.tif,train,ica,0.5354,Bareland,-8.0076,15.1350
kagera_41.tif,train,kagera,0.4377,Developed,-25.8715,-0.7817
austin_10.tif,train,austin,0.2457,Rangeland,-2.3322,41.4991
kagera_56.tif,train,kagera,0.3531,Developed,-25.6575,-1.0125
malopolskie_16.tif,train,malopolskie,0.1388,Developed,-43.3368,-17.0919
lima_41.tif,train,lima,0.7565,Bareland,-8.7539,18.3369
lambayeque_14.tif,train,lambayeque,0.2985,Rangeland,47.2032,-0.1184
podlaskie_3.tif,train,podlaskie,0.2575,Tree,-54.4017,-15.8417
pisco_27.tif,train,pisco,0.4586,Bareland,-9.4363,-32.6323
svaneti_66.tif,train,svaneti,0.0998,Developed,8.8540,-13.8827
lima_1.tif,train,lima,0.3259,Bareland,-1.3054,-18.3483
dortmund_1.tif,train,dortmund,0.2069,Water,-31.1915,-19.1655
mahe_52.tif,train,mahe,0.2063,Water,5.5138,10.3350
dhaka_37.tif,train,dhaka,0.2273,Road,-1.9065,46.1245
chisinau_45.tif,train,chisinau,0.2351,Rangeland,42.9344,-16.1936
daressalaam_70.tif,train,daressalaam,0.3519,Rangeland,55.0484,3.4365
mahe_61.tif,train,mahe,0.1690,Water,1.9882,8.0172
chicago_6.tif,train,chicago,0.3306,Water,28.7789,13.5395
warminsko-mazurskie_8.tif,train,warminsko-mazurskie,0.4660,Road,-47.7907,2.7304
pisco_37.tif,train,pisco,0.5499,Bareland,-23.3084,24.1392
ica_42.tif,train,ica,0.4064,Bareland,-8.7525,-35.2039
lohur_16.tif,train,lohur,0.3857,Water,-4.6911,-5.2162
daressalaam_79.tif,train,daressalaam,0.2036,Water,23.3475,18.8225
wielkopolskie_6.tif,train,wielkopolskie,0.0539,Tree,-46.6956,-26.2317
khartoum_25.tif,train,khartoum,0.3621,Bareland,40.3316,18.7707
chisinau_67.tif,train,chisinau,0.2806,Building,36.3640,6.5767
christchurch_67.tif,train,christchurch,0.0910,Building,-14.7946,49.4535
shanghai_44.tif,train,shanghai,0.4966,Road,-5.1523,-1.1499
lubuskie_10.tif,train,lubuskie,0.4724,Developed,-9.7975,4.2129
vienna_8.tif,train,vienna,0.2627,Building,30.2170,-13.4032
ulaanbaatar_44.tif,train,ulaanbaatar,0.3227,Rangeland,7.4633,23.7977
daressalaam_5.tif,train,daressalaam,0.1702,Bareland,-13.1214,45.9492
chisinau_5.tif,train,chisinau,0.1763,Rangeland,-2.6650,-43.7589
ica_40.tif,train,ica,0.5162,Bareland,-12.8909,13.2103
coxsbazar_64.tif,train,coxsbazar,0.1992,Water,-38.8558,-4.7194
